English Name_Nom anglais,French Name_Nom français,Scientific Name_Nom scientifique,Regularly Occurring Native Species (included in analyses) _Espèce indigène régulièrement présente (incluse dans les analyses),Species Whose Range Expanded Into Canada Since 1970 (excluded from indicators) _Espèces dont l'aire de répartition s'est étendue au Canada depuis 1970 (exclus des indicateurs),Waterfowl _Sauvagine,Birds of Prey _Oiseaux de proie,Wetland Birds _Oiseaux de milieux humides,Seabirds _Oiseaux de mer,Forest Birds _Oiseaux forestiers,All Other Birds _Tous les autres oiseaux,Shorebirds _Oiseaux de rivage,Grassland Birds _Oiseaux de prairie,Aerial Insectivores _Insectivores aériens,Waterfowl and Wetland Birds - Goose species _Sauvagine et oiseaux de milieux humides - espèces d'oies,Waterfowl and Wetland Birds - Duck Species _Sauvagine et oiseaux de milieux humides - espèces de canards,Grassland Birds - Species Dependent On Native  Grassland _Oiseaux de prairie - espèces dépendantes des prairies indigènes,Grassland Birds - Species Tolerant Of Agriculture _Oiseaux de prairie - espèces tolérantes des paysages agricoles,Shorebirds - Long-distance Migrants _Oiseaux de rivage migrant sur de grandes distances,Shorebirds - Short-distance Migrants _Oiseaux de rivage migrant sur de courtes distances,Forest Birds - Species Wintering In South America _Oiseaux forestiers - espèces hivernant en Amérique du Sud,Forest Birds - Species Wintering In Canada _Oiseaux forestiers - espèces hivernant au Canada,Forest Birds - Forest Crop Specialists _Oiseaux forestiers - spécialistes de graines et de fruits d'arbres,
Long-tailed Jaeger,Labbe à longue queue,Stercorarius longicaudus,Included_Inclus,,,,Included_Inclus,Included_Inclus,,,,,,,,,,,,,,,
Dovekie,Mergule nain,Alle alle,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Common Murre,Guillemot marmette,Uria aalge,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Thick-billed Murre,Guillemot de Brünnich,Uria lomvia,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Razorbill,Petit Pingouin,Alca torda,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Black Guillemot,Guillemot à miroir,Cepphus grylle,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Great Auk,Grand Pingouin,Pinguinus impennis,,,,,,,,,,,,,,,,,,,,,
Pigeon Guillemot,Guillemot colombin,Cepphus columba,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Marbled Murrelet,Guillemot marbré,Brachyramphus marmoratus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Scripps's Murrelet,Guillemot de Scripps,Synthliboramphus scrippsi,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Ancient Murrelet,Guillemot à cou blanc,Synthliboramphus antiquus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Cassin's Auklet,Starique de Cassin,Ptychoramphus aleuticus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Parakeet Auklet,Starique perroquet,Aethia psittacula,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Rhinoceros Auklet,Macareux rhinocéros,Cerorhinca monocerata,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Atlantic Puffin,Macareux moine,Fratercula arctica,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Horned Puffin,Macareux cornu,Fratercula corniculata,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Tufted Puffin,Macareux huppé,Fratercula cirrhata,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Black-legged Kittiwake,Mouette tridactyle,Rissa tridactyla,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Ivory Gull,Mouette blanche,Pagophila eburnea,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Sabine's Gull,Mouette de Sabine,Xema sabini,Included_Inclus,,,,Included_Inclus,Included_Inclus,,,,,,,,,,,,,,,
Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Black-headed Gull,Mouette rieuse,Chroicocephalus ridibundus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Little Gull,Mouette pygmée,Hydrocoloeus minutus,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Ross's Gull,Mouette rosée,Rhodostethia rosea,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Laughing Gull,Mouette atricille,Leucophaeus atricilla,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Heermann's Gull,Goéland de Heermann,Larus heermanni,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Mew Gull,Goéland cendré,Larus canus,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Ring-billed Gull,Goéland à bec cerclé,Larus delawarensis,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Western Gull,Goéland d'Audubon,Larus occidentalis,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
California Gull,Goéland de Californie,Larus californicus,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Herring Gull,Goéland argenté,Larus argentatus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Iceland Gull,Goéland arctique,Larus glaucoides,Included_Inclus,,,,Included_Inclus,Included_Inclus,,,,,,,,,,,,,,,
Lesser Black-backed Gull,Goéland brun,Larus fuscus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Glaucous-winged Gull,Goéland à ailes grises,Larus glaucescens,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Glaucous Gull,Goéland bourgmestre,Larus hyperboreus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Great Black-backed Gull,Goéland marin,Larus marinus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Caspian Tern,Sterne caspienne,Hydroprogne caspia,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Black Tern,Guifette noire,Chlidonias niger,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Roseate Tern,Sterne de Dougall,Sterna dougallii,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Common Tern,Sterne pierregarin,Sterna hirundo,Included_Inclus,,,,Included_Inclus,Included_Inclus,,,,,,,,,,,,,,,
Arctic Tern,Sterne arctique,Sterna paradisaea,Included_Inclus,,,,Included_Inclus,Included_Inclus,,,,,,,,,,,,,,,
Forster's Tern,Sterne de Forster,Sterna forsteri,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Red-throated Loon,Plongeon catmarin,Gavia stellata,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Pacific Loon,Plongeon du Pacifique,Gavia pacifica,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Common Loon,Plongeon huard,Gavia immer,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Yellow-billed Loon,Plongeon à bec blanc,Gavia adamsii,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Laysan Albatross,Albatros de Laysan,Phoebastria immutabilis,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Black-footed Albatross,Albatros à pieds noirs,Phoebastria nigripes,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Short-tailed Albatross,Albatros à queue courte,Phoebastria albatrus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Northern Fulmar,Fulmar boréal,Fulmarus glacialis,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Murphy's Petrel,Pétrel de Murphy,Pterodroma ultima,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Mottled Petrel,Pétrel maculé,Pterodroma inexpectata,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Cory's Shearwater,Puffin cendré,Calonectris diomedea,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Buller's Shearwater,Puffin de Buller,Ardenna bulleri,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Short-tailed Shearwater,Puffin à bec grêle,Ardenna tenuirostris,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Sooty Shearwater,Puffin fuligineux,Ardenna grisea,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Great Shearwater,Puffin majeur,Ardenna gravis,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Pink-footed Shearwater,Puffin à pieds roses,Ardenna creatopus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Flesh-footed Shearwater,Puffin à pieds pâles,Ardenna carneipes,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Manx Shearwater,Puffin des Anglais,Puffinus puffinus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Wilson's Storm-Petrel,Océanite de Wilson,Oceanites oceanicus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Fork-tailed Storm-Petrel,Océanite à queue fourchue,Oceanodroma furcata,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Leach's Storm-Petrel,Océanite cul-blanc,Oceanodroma leucorhoa,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Northern Gannet,Fou de Bassan,Morus bassanus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Brandt's Cormorant,Cormoran de Brandt,Phalacrocorax penicillatus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Double-crested Cormorant,Cormoran à aigrettes,Phalacrocorax auritus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Great Cormorant,Grand Cormoran,Phalacrocorax carbo,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
Pelagic Cormorant,Cormoran pélagique,Phalacrocorax pelagicus,Included_Inclus,,,,,Included_Inclus,,,,,,,,,,,,,,,
American White Pelican,Pélican d'Amérique,Pelecanus erythrorhynchos,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Brown Pelican,Pélican brun,Pelecanus occidentalis,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
American Bittern,Butor d'Amérique,Botaurus lentiginosus,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Least Bittern,Petit Blongios,Ixobrychus exilis,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Great Blue Heron,Grand Héron,Ardea herodias,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Great Egret,Grande Aigrette,Ardea alba,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Snowy Egret,Aigrette neigeuse,Egretta thula,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Little Blue Heron,Aigrette bleue,Egretta caerulea,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Cattle Egret,Héron garde-boeufs,Bubulcus ibis,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Green Heron,Héron vert,Butorides virescens,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Black-crowned Night-Heron,Bihoreau gris,Nycticorax nycticorax,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Glossy Ibis,Ibis falcinelle,Plegadis falcinellus,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
White-faced Ibis,Ibis à face blanche,Plegadis chihi,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Turkey Vulture,Urubu à tête rouge,Cathartes aura,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
California Condor,Condor de Californie,Gymnogyps californianus,,,,,,,,,,,,,,,,,,,,,
Osprey,Balbuzard pêcheur,Pandion haliaetus,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Mississippi Kite,Milan du Mississippi,Ictinia mississippiensis,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Bald Eagle,Pygargue à tête blanche,Haliaeetus leucocephalus,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Northern Harrier,Busard des marais,Circus hudsonius,Included_Inclus,,,Included_Inclus,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Sharp-shinned Hawk,Épervier brun,Accipiter striatus,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Cooper's Hawk,Épervier de Cooper,Accipiter cooperii,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Northern Goshawk,Autour des palombes,Accipiter gentilis,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Red-shouldered Hawk,Buse à épaulettes,Buteo lineatus,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Broad-winged Hawk,Petite Buse,Buteo platypterus,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Swainson's Hawk,Buse de Swainson,Buteo swainsoni,Included_Inclus,,,Included_Inclus,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Red-tailed Hawk,Buse à queue rousse,Buteo jamaicensis,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Rough-legged Hawk,Buse pattue,Buteo lagopus,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Ferruginous Hawk,Buse rouilleuse,Buteo regalis,Included_Inclus,,,Included_Inclus,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Golden Eagle,Aigle royal,Aquila chrysaetos,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Barn Owl,Effraie des clochers,Tyto alba,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Flammulated Owl,Petit-duc nain,Psiloscops flammeolus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Western Screech-Owl,Petit-duc des montagnes,Megascops kennicottii,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Eastern Screech-Owl,Petit-duc maculé,Megascops asio,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Great Horned Owl,Grand-duc d'Amérique,Bubo virginianus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Snowy Owl,Harfang des neiges,Bubo scandiacus,Included_Inclus,,,,,,,,,,,,,,,,,,,,
Northern Hawk Owl,Chouette épervière,Surnia ulula,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Northern Pygmy-Owl,Chevêchette naine,Glaucidium gnoma,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Burrowing Owl,Chevêche des terriers,Athene cunicularia,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Spotted Owl,Chouette tachetée,Strix occidentalis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Barred Owl,Chouette rayée,Strix varia,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Great Gray Owl,Chouette lapone,Strix nebulosa,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Long-eared Owl,Hibou moyen-duc,Asio otus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Short-eared Owl,Hibou des marais,Asio flammeus,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Boreal Owl,Nyctale de Tengmalm,Aegolius funereus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Northern Saw-whet Owl,Petite Nyctale,Aegolius acadicus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Belted Kingfisher,Martin-pêcheur d'Amérique,Megaceryle alcyon,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Lewis's Woodpecker,Pic de Lewis,Melanerpes lewis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Red-headed Woodpecker,Pic à tête rouge,Melanerpes erythrocephalus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Red-bellied Woodpecker,Pic à ventre roux,Melanerpes carolinus,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Williamson's Sapsucker,Pic de Williamson,Sphyrapicus thyroideus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Yellow-bellied Sapsucker,Pic maculé,Sphyrapicus varius,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Red-naped Sapsucker,Pic à nuque rouge,Sphyrapicus nuchalis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Red-breasted Sapsucker,Pic à poitrine rouge,Sphyrapicus ruber,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Downy Woodpecker,Pic mineur,Picoides pubescens,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Hairy Woodpecker,Pic chevelu,Picoides villosus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
White-headed Woodpecker,Pic à tête blanche,Picoides albolarvatus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
American Three-toed Woodpecker,Pic à dos rayé,Picoides dorsalis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Black-backed Woodpecker,Pic à dos noir,Picoides arcticus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Northern Flicker,Pic flamboyant,Colaptes auratus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Pileated Woodpecker,Grand Pic,Dryocopus pileatus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
American Kestrel,Crécerelle d'Amérique,Falco sparverius,Included_Inclus,,,Included_Inclus,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Merlin,Faucon émerillon,Falco columbarius,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Gyrfalcon,Faucon gerfaut,Falco rusticolus,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Peregrine Falcon,Faucon pèlerin,Falco peregrinus,Included_Inclus,,,Included_Inclus,,,,,,,,,,,,,,,,,
Prairie Falcon,Faucon des prairies,Falco mexicanus,Included_Inclus,,,Included_Inclus,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Olive-sided Flycatcher,Moucherolle à côtés olive,Contopus cooperi,Included_Inclus,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,Included_Inclus,,,
Western Wood-Pewee,Pioui de l'Ouest,Contopus sordidulus,Included_Inclus,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,Included_Inclus,,,
Eastern Wood-Pewee,Pioui de l'Est,Contopus virens,Included_Inclus,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,Included_Inclus,,,
Yellow-bellied Flycatcher,Moucherolle à ventre jaune,Empidonax flaviventris,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Acadian Flycatcher,Moucherolle vert,Empidonax virescens,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Alder Flycatcher,Moucherolle des aulnes,Empidonax alnorum,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Willow Flycatcher,Moucherolle des saules,Empidonax traillii,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Least Flycatcher,Moucherolle tchébec,Empidonax minimus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Hammond's Flycatcher,Moucherolle de Hammond,Empidonax hammondii,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Gray Flycatcher,Moucherolle gris,Empidonax wrightii,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Dusky Flycatcher,Moucherolle sombre,Empidonax oberholseri,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Pacific-slope Flycatcher,Moucherolle côtier,Empidonax difficilis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Cordilleran Flycatcher,Moucherolle des ravins,Empidonax occidentalis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Eastern Phoebe,Moucherolle phébi,Sayornis phoebe,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Say's Phoebe,Moucherolle à ventre roux,Sayornis saya,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Great Crested Flycatcher,Tyran huppé,Myiarchus crinitus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Western Kingbird,Tyran de l'Ouest,Tyrannus verticalis,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Eastern Kingbird,Tyran tritri,Tyrannus tyrannus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Loggerhead Shrike,Pie-grièche migratrice,Lanius ludovicianus,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,,,
Northern Shrike,Pie-grièche boréale,Lanius borealis,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
White-eyed Vireo,Viréo aux yeux blancs,Vireo griseus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Hutton's Vireo,Viréo de Hutton,Vireo huttoni,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Yellow-throated Vireo,Viréo à gorge jaune,Vireo flavifrons,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Cassin's Vireo,Viréo de Cassin,Vireo cassinii,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Blue-headed Vireo,Viréo à tête bleue,Vireo solitarius,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Philadelphia Vireo,Viréo de Philadelphie,Vireo philadelphicus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Warbling Vireo,Viréo mélodieux,Vireo gilvus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Canada Jay,Mésangeai du Canada,Perisoreus canadensis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Steller's Jay,Geai de Steller,Cyanocitta stelleri,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Blue Jay,Geai bleu,Cyanocitta cristata,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
California Scrub-Jay,Geai buissonnier,Aphelocoma californica,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
